No.;var00001;Substituent;Backbone length;Backbone;Substitution energy;homo;lumo;pa;homo2;lumo2;pa2;he.w.pn;nhe;be.gla;ml.gla;dmd.gla;d.d1rgla;d.d2rgla;drd1rgla;drd2rgla;nbo.glaf;be.pd;ml.pd;dmd.pd;d.d1r.pd;d.d2r.pd;d.rd1rpd;d.rd2rpd;nbo.pd.f;dppd.d1;dppd.d2;dpzn.d1;dpzn.d2;kmeansPCA;hiePCA;kmeansUMAP;hieUMAP;kmeansTSNE;hieTSNE;kmeansUMAP(n10);hieUMAP(n10);kmeansUMAP(n15);hieUMAP(n15);;;;;;;;;;;;;;;;;;
37;4;OPh;6;D;-13.53;-0.19974;-0.0381;226.114;-0.19974;-0.0381;226.114;18.8239;18.6187;24.4187;2.261;85;-0.023;-0.022;0.9;5.6;-0.126;80.0854;2.363;91.9;-0.036;-0.031;1;5.4;-0.7563;0.028;0.008;0.074;-0.024;0;0;5;5;2;3;4;2;0;0;;;;;;;;;;;;;;;;;;
38;2;CF3;6;D;-9.71;-0.2508;-0.0332;197.71;-0.2508;-0.0332;197.71;20.4561;16.553;17.481;2.24;89.3;-0.007;-0.001;3.2;3.2;-0.0687;71.3022;2.344;97.6;0.002;0.009;2.9;2.2;-0.6047;0.024;0.024;0.005;0.016;4;3;3;2;0;5;1;3;3;3;;;;;;;;;;;;;;;;;;
39;5;NMe2;6;D;-14.50;-0.1642;0.0236;240.51;-0.1642;0.0236;240.51;30.9825;25.3475;39.8843;2.29;95.3;-0.022;-0.022;2.7;3.1;-0.1262;87.1079;2.379;95.5;-0.022;-0.023;1.8;1.7;-0.7731;0.07;0.061;-0.037;-0.05;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
40;3;Ph;6;D;-10.02;-0.189;-0.0477;239.2;-0.189;-0.0477;239.2;26.7431;22.3744;33.9694;2.289;93.3;-0.013;-0.009;3.1;4.2;-0.1157;86.6442;2.374;94.4;-0.013;-0.008;1.9;2.6;-0.7477;0.06;0.049;-0.053;-0.061;1;5;4;0;3;0;0;0;2;2;;;;;;;;;;;;;;;;;;
41;2;C6F5;6;D;-7.75;-0.21657;-0.07767;222.356;-0.21657;-0.07767;222.356;25.5194;22.5331;24.4288;2.668;90;-0.019;-0.007;2.7;2.9;-0.0727;78.6579;2.368;101.1;-0.016;-0.007;2.2;1.3;-0.6587;0.035;0.035;0.003;0.028;5;0;1;3;5;2;2;5;5;1;;;;;;;;;;;;;;;;;;
42;3;o-Tol;6;D;3.43;-0.18524;-0.0467;240.856;-0.18524;-0.0467;240.856;50.0846;40.323;25.3901;2.294;99.9;-0.01;-0.009;5.4;5.3;-0.1107;72.4342;2.371;99.9;-0.002;-0.006;4.5;3.9;-0.7326;0.077;0.086;-0.001;-0.061;1;5;4;0;3;4;0;1;2;4;;;;;;;;;;;;;;;;;;
43;3;p-Tol;6;D;-11.13;-0.18192;-0.04288;243.279;-0.18192;-0.04288;243.279;25.9016;23.6407;35.424;2.296;95.7;-0.013;-0.009;3.9;3.7;-0.1224;88.2776;2.374;94.8;-0.015;-0.007;2.1;2.1;-0.7557;0.062;0.05;-0.051;-0.071;1;5;4;0;3;0;0;0;2;2;;;;;;;;;;;;;;;;;;
44;3;p-CF3-Ph;6;D;-12.96;-0.20834;-0.0767;228.712;-0.20834;-0.0767;228.712;27.4823;22.3944;31.0578;2.285;97.1;-0.013;-0.008;2.9;3.8;-0.1044;84.4648;2.368;94.8;-0.012;-0.008;1.2;3;-0.7227;0.055;0.048;-0.083;-0.069;1;0;0;1;5;2;5;0;5;1;;;;;;;;;;;;;;;;;;
45;1;Me;4;E;-19.45;-0.1963;-0.0368;232.11;-0.1963;-0.0368;232.11;12.6862;11.9954;35.6995;2.268;81.9;-0.018;-0.019;4;4.2;-0.1248;101.525;2.389;87.9;-0.023;-0.023;6.2;6.3;-0.8508;-0.013;-0.013;-0.067;-0.07;3;1;4;0;3;1;0;1;4;4;;;;;;;;;;;;;;;;;;
46;1;tBu;4;E;-17.06;-0.18369;-0.03669;244.02;-0.18369;-0.03669;244.02;27.4867;25.8997;40.3148;2.29;84.3;-0.012;-0.012;3.5;3.5;-0.0998;99.2282;2.39;89.8;-0.004;-0.004;3.2;3;-0.7892;0.044;0.044;-0.033;-0.049;1;5;4;0;3;0;0;0;2;2;;;;;;;;;;;;;;;;;;
